 #! FIELDS time p.x p.y deepTDA.node-0 mueller opes.bias
 81.605 -0.787209 1.00339 -3.47908 9.27098 -9.16216
 81.61 -0.780765 0.991442 -3.32592 9.92238 -10.0
 81.615 -0.77554 0.980376 -3.18644 10.5106 -10.0
 81.62 -0.773161 0.969241 -3.05504 11.0205 -10.0
 81.625 -0.771302 0.958272 -2.92711 11.5 -10.0
 81.63 -0.773317 0.952226 -2.86608 11.6748 -10.0
 81.635 -0.776669 0.946109 -2.80841 11.8122 -10.0
 81.64 -0.780063 0.941904 -2.77218 11.8754 -10.0
 81.645 -0.784717 0.943188 -2.80098 11.7032 -10.0
 81.65 -0.787808 0.946325 -2.84554 11.5048 -10.0
 81.655 -0.792771 0.949513 -2.8965 11.2557 -10.0
 81.66 -0.798525 0.953634 -2.96031 10.9531 -10.0
 81.665 -0.803577 0.957756 -3.02195 10.6709 -10.0
 81.67 -0.810466 0.961108 -3.08074 10.3773 -10.0
 81.675 -0.817813 0.964012 -3.13597 10.0975 -10.0
 81.68 -0.826269 0.96826 -3.20299 9.75265 -10.0
 81.685 -0.834142 0.972693 -3.25424 9.42688 -10.0
 81.69 -0.840372 0.976763 -3.3004 9.15891 -10.0
 81.695 -0.847383 0.980968 -3.34862 8.88366 -10.0
 81.7 -0.85529 0.986589 -3.41177 8.56002 -10.0
 81.705 -0.865119 0.993518 -3.48968 8.19091 -8.73417
 81.71 -0.871547 0.988102 -3.44131 8.29458 -9.92886
 81.715 -0.877169 0.982165 -3.38703 8.42487 -10.0
 81.72 -0.884466 0.979151 -3.36342 8.44371 -10.0
 81.725 -0.891374 0.975703 -3.33512 8.48479 -10.0
 81.73 -0.90024 0.971545 -3.30149 8.53487 -10.0
 81.735 -0.910587 0.968934 -3.28461 8.53651 -10.0
 81.74 -0.920722 0.967807 -3.28235 8.51198 -10.0
 81.745 -0.931617 0.96676 -3.28157 8.50022 -10.0
 81.75 -0.941793 0.966611 -3.28912 8.48691 -10.0
 81.755 -0.950513 0.969975 -3.33046 8.41011 -10.0
 81.76 -0.958759 0.975897 -3.39691 8.30224 -10.0
 81.765 -0.967191 0.979806 -3.44343 8.26767 -9.91433
 81.77 -0.97402 0.982176 -3.47316 8.27369 -9.36652
 81.775 -0.979407 0.974664 -3.40294 8.45238 -10.0
 81.78 -0.985613 0.968213 -3.34404 8.61792 -10.0
 81.785 -0.993189 0.96189 -3.28763 8.79221 -10.0
 81.79 -1.00278 0.954539 -3.22276 9.00229 -10.0
 81.795 -1.01284 0.948311 -3.16951 9.20028 -10.0
 81.8 -1.02318 0.943372 -3.12938 9.38574 -10.0
 81.805 -1.03375 0.939819 -3.10329 9.56141 -10.0
 81.81 -1.04474 0.937694 -3.09184 9.73513 -10.0
 81.815 -1.05504 0.935191 -3.07599 9.91592 -10.0
 81.82 -1.06419 0.932921 -3.06145 10.0857 -10.0
 81.825 -1.07516 0.931385 -3.05586 10.2898 -10.0
 81.83 -1.08853 0.931445 -3.06833 10.5451 -10.0
 81.835 -1.10006 0.931225 -3.07638 10.7877 -10.0
 81.84 -1.11059 0.9326 -3.09946 11.0198 -10.0
 81.845 -1.12427 0.932389 -3.1095 11.3506 -10.0
 81.85 -1.13776 0.932058 -3.11818 11.6976 -10.0
 81.855 -1.15102 0.93307 -3.14006 12.0598 -10.0
 81.86 -1.16425 0.933996 -3.14657 12.4408 -10.0
 81.865 -1.17807 0.935392 -3.14577 12.8597 -10.0
 81.87 -1.19045 0.935852 -3.13885 13.2442 -10.0
 81.875 -1.20176 0.936753 -3.13629 13.6083 -10.0
 81.88 -1.2103 0.93759 -3.1356 13.8896 -10.0
 81.885 -1.21869 0.936478 -3.11973 14.1517 -10.0
 81.89 -1.2263 0.935429 -3.10501 14.3897 -10.0
 81.895 -1.2337 0.932938 -3.07915 14.6062 -10.0
 81.9 -1.23842 0.930167 -3.05338 14.7318 -10.0
 81.905 -1.24309 0.927784 -3.03069 14.8591 -10.0
 81.91 -1.24491 0.926568 -3.01959 14.9055 -10.0
 81.915 -1.24362 0.920727 -2.97482 14.8046 -10.0
 81.92 -1.24208 0.912277 -2.90978 14.6765 -10.0
 81.925 -1.24009 0.901308 -2.82534 14.5225 -10.0
 81.93 -1.23883 0.890296 -2.73993 14.4052 -10.0
 81.935 -1.23951 0.881753 -2.67228 14.3714 -10.0
 81.94 -1.2383 0.871748 -2.59474 14.2831 -10.0
 81.945 -1.23747 0.863514 -2.52237 14.2239 -10.0
 81.95 -1.23491 0.856016 -2.44523 14.1289 -10.0
 81.955 -1.23006 0.8475 -2.3559 13.9831 -10.0
 81.96 -1.2271 0.838685 -2.26525 13.8996 -10.0
 81.965 -1.22424 0.832163 -2.19759 13.8303 -10.0
 81.97 -1.22267 0.825229 -2.12696 13.7992 -10.0
 81.975 -1.22048 0.819769 -2.0705 13.7586 -10.0
 81.98 -1.2169 0.814085 -2.01058 13.6952 -10.0
 81.985 -1.21258 0.808865 -1.95462 13.6233 -10.0
 81.99 -1.20716 0.802935 -1.8906 13.5428 -10.0
 81.995 -1.19921 0.79575 -1.81179 13.4379 -10.0
 82.0 -1.19303 0.786568 -1.71464 13.3984 -10.0
 82.005 -1.18347 0.775602 -1.59665 13.3501 -10.0
 82.01 -1.17381 0.765332 -1.48553 13.332 -10.0
 82.015 -1.16331 0.75663 -1.38932 13.3217 -10.0
 82.02 -1.15154 0.749483 -1.3075 13.3126 -10.0
 82.025 -1.139 0.74342 -1.23583 13.314 -10.0
 82.03 -1.12612 0.737419 -1.16448 13.3428 -10.0
